Timestamp,Residents,Apartment_Type,Temperature,Humidity,Water_Price,Period_Consumption_Index,Income_Level,Guests,Amenities,Appliance_Usage,Water_Consumption
2002-01-01 00:00:00,1.0,7,15.31,1476,1.06,0.97,193,0.0,4,0.0,64.85
2002-01-01 08:00:00,4.0,6,21.01,3404,2.98,0.91,239,1.0,4,1.0,192.5
2002-01-01 16:00:00,2.0,4,12.86,2901,1.44,1.43,196,0.0,3,1.0,116.62
2002-01-02 00:00:00,2.0,0,20.16,1874,1.48,0.91,196,0.30735899472809997,1,0.0,76.96
2002-01-02 08:00:00,2.0,4,16.23,2040,1.14,1.11,196,0.0,0,0.0,104.7
2002-01-02 16:00:00,4.0,1,22.23,2201,1.15,1.46,196,0.0,3,1.0,218.23
2002-01-03 00:00:00,3.0,1,10.83,2565,2.98,1.07,239,0.0,4,0.0,135.8
2002-01-03 08:00:00,3.0,4,30.37,391,1.35,1.4,391,0.0,0,0.0,202.29
2002-01-03 16:00:00,4.0,3,16.57,2608,2.84,1.47,239,0.0,1,0.0,188.04
2002-01-04 00:00:00,2.0,6,22.59,2539,1.11,0.99,193,1.0,3,1.0,88.94
2002-01-04 08:00:00,3.0,1,22.56655948078758,3181,1.14,0.2294217559681648,196,0.0,3,1.0,91.71
2002-01-04 16:00:00,3.0,0,30.7,3030,1.07,0.91,196,0.0,1,0.0,96.72
2002-01-05 00:00:00,2.0,4,29.6,231,1.66,1.3,196,1.0,3,0.0,152.87
2002-01-05 08:00:00,3.242492711370262,7,14.5,3735,1.56,1.14,193,1.0,4,0.0,75.05
2002-01-05 16:00:00,5.0,1,17.34,1750,1.11,1.23,196,1.0,3,0.0,219.84
2002-01-06 00:00:00,3.0,0,18.55,2917,1.73,1.41,193,1.0,3,0.0,136.38
2002-01-06 08:00:00,4.0,1,26.04,2114,1.09,1.36,196,1.0,3,0.0,220.55
2002-01-06 16:00:00,4.0,6,28.03,1684,1.55,1.33,196,0.0,3,1.0,210.84
2002-01-07 00:00:00,5.0,2,18.41,1640,2.94,1.35,223,1.0,4,0.0,409.67
2002-01-07 08:00:00,3.0,2,28.22,4089,2.33,0.98,223,0.0,0,0.0,152.83
2002-01-07 16:00:00,3.0,3,16.93,1349,1.81,1.05,239,1.0,4,0.0,195.02
2002-01-08 00:00:00,4.0,1,20.75,2792,2.23,0.93,239,1.0,3,0.0,143.08
2002-01-08 08:00:00,1.0,7,14.68,1011,1.33,1.03,193,0.0,4,0.0,69.13
2002-01-08 16:00:00,4.0,1,28.79,3929,2.03,1.31,239,0.0,3,0.0,163.73
2002-01-09 00:00:00,3.0,0,20.94,806,1.51,1.36,193,1.0,1,0.0,164.23
2002-01-09 08:00:00,3.0,2,17.86,2356,2.5,1.25,223,0.0,3,0.0,173.07
2002-01-09 16:00:00,4.0,1,27.01,1181,2.27,0.8,239,0.0,0,0.0,144.6
2002-01-10 00:00:00,3.0,1,22.24,1149,1.79,1.2,196,0.0,4,1.0,205.6
2002-01-10 08:00:00,3.0,0,12.71,2388,1.33,1.23,196,0.0,3,0.0,110.66
2002-01-10 16:00:00,4.0,5,16.4,2387,2.19,1.3,223,0.0,3,0.0,213.5
2002-01-11 00:00:00,4.0,2,21.73,1303,1.67,1.19,239,1.0,3,0.0,228.76
2002-01-11 08:00:00,1.0,7,25.32,3008,1.38,1.35,193,0.0,3,1.0,76.62
2002-01-11 16:00:00,3.0,3,17.29,2378,2.09,1.48,239,0.0,4,0.0,209.99
2002-01-12 00:00:00,2.0,0,10.92,2236,1.29,0.7007671115482917,196,0.0,3,0.0,100.12
2002-01-12 08:00:00,5.0,3,15.98,3085,1.7,1.05,223,0.0,1,0.0,187.01
2002-01-12 16:00:00,5.0,1,17.77,1601,1.21,1.11,196,0.0,0,0.0,200.5
2002-01-13 00:00:00,5.0,3,22.56655948078758,2833,2.39,1.06,239,1.0,2,1.0,284.16
